"죄종별","범죄발생지별","항목","단위","2016 년","2017 년","2018 년","2019 년","2020 년",
"계","계","범죄건수[건]","건","1849450","1662341","1580751","1611906","1587866",
"계","서울","범죄건수[건]","건","341925","319046","306661","305909","290816",
"계","부산","범죄건수[건]","건","133966","118854","115727","119267","120095",
"계","대구","범죄건수[건]","건","86094","75024","72270","75707","72171",
"계","인천","범죄건수[건]","건","103459","95244","88228","93347","91257",
"계","광주","범죄건수[건]","건","54287","48205","43515","44102","43179",
"계","대전","범죄건수[건]","건","49033","46904","45454","45047","44426",
"계","울산","범죄건수[건]","건","40330","36531","34389","34128","31834",
"계","세종","범죄건수[건]","건","4661","4866","5156","6095","6251",
"계","고양시","범죄건수[건]","건","31383","28577","26957","27903","27043",
"계","과천시","범죄건수[건]","건","2150","1781","1777","1679","1221",
"계","광명시","범죄건수[건]","건","10684","9012","8364","8557","8080",
"계","광주시","범죄건수[건]","건","11530","10360","9743","9777","10860",
"계","구리시","범죄건수[건]","건","8025","6977","6458","6983","5732",
"계","군포시","범죄건수[건]","건","8251","6995","5659","5554","5280",
"계","김포시","범죄건수[건]","건","11305","10361","11071","11182","12388",
"계","남양주시","범죄건수[건]","건","18327","16846","15561","15521","14813",
"계","동두천시","범죄건수[건]","건","3544","3245","3249","3142","2975",
"계","부천시","범죄건수[건]","건","36086","31124","29240","28107","28212",
"계","성남시","범죄건수[건]","건","37638","29661","27089","28066","27066",
"계","수원시","범죄건수[건]","건","50728","45991","42123","41697","40659",
"계","시흥시","범죄건수[건]","건","23536","18725","17268","17456","17726",
"계","안산시","범죄건수[건]","건","36446","28858","25522","25123","26263",
"계","안성시","범죄건수[건]","건","7290","7382","6507","6313","6513",
"계","안양시","범죄건수[건]","건","19743","17047","15349","14768","14135",
"계","양주시","범죄건수[건]","건","7307","6536","6726","6295","6486",
"계","여주시","범죄건수[건]","건","5025","4427","3504","3697","3752",
"계","오산시","범죄건수[건]","건","8870","7563","7402","7266","7391",
"계","용인시","범죄건수[건]","건","25154","22586","20473","21538","21502",
"계","의왕시","범죄건수[건]","건","3878","3145","3221","3114","2975",
"계","의정부시","범죄건수[건]","건","14872","14178","14347","14283","14351",
"계","이천시","범죄건수[건]","건","8332","7993","7805","7790","7454",
"계","파주시","범죄건수[건]","건","15183","13694","12397","11957","11544",
"계","평택시","범죄건수[건]","건","25222","23839","22629","23500","25466",
"계","포천시","범죄건수[건]","건","7131","6872","6343","6260","5489",
"계","하남시","범죄건수[건]","건","6443","5408","5382","5898","6815",
"계","화성시","범죄건수[건]","건","22887","19939","19129","21734","21374",
"계","강릉시","범죄건수[건]","건","7912","7127","6250","6861","6220",
"계","동해시","범죄건수[건]","건","3533","3125","3866","2248","2648",
"계","삼척시","범죄건수[건]","건","3288","2864","2196","1958","2130",
"계","속초시","범죄건수[건]","건","3974","4680","3170","3008","3029",
"계","원주시","범죄건수[건]","건","14901","13568","11107","11355","10716",
"계","춘천시","범죄건수[건]","건","11100","9571","8006","8129","8392",
"계","태백시","범죄건수[건]","건","1526","1233","1090","1365","1162",
"계","제천시","범죄건수[건]","건","4367","4082","3647","3683","3739",
"계","청주시","범죄건수[건]","건","29608","27847","27047","25900","25572",
"계","충주시","범죄건수[건]","건","8338","6461","6210","6293","6155",
"계","계룡시","범죄건수[건]","건","494","419","522","537","500",
"계","공주시","범죄건수[건]","건","3257","3125","3207","3006","2702",
"계","논산시","범죄건수[건]","건","3716","3834","3481","3258","3516",
"계","당진시","범죄건수[건]","건","8120","5045","5127","5032","4895",
"계","보령시","범죄건수[건]","건","3920","3444","3480","3443","3024",
"계","서산시","범죄건수[건]","건","5151","6485","5149","5080","6115",
"계","아산시","범죄건수[건]","건","8600","8607","8949","9106","9122",
"계","천안시","범죄건수[건]","건","23999","22376","22628","21797","21344",
"계","군산시","범죄건수[건]","건","10862","10084","9684","11451","10933",
"계","김제시","범죄건수[건]","건","2583","2297","2662","2199","2014",
"계","남원시","범죄건수[건]","건","2280","2269","2030","1997","2028",
"계","익산시","범죄건수[건]","건","9738","8129","7879","8103","7853",
"계","전주시","범죄건수[건]","건","18937","17661","17432","17187","17926",
"계","정읍시","범죄건수[건]","건","3102","2859","2824","2793","2920",
"계","광양시","범죄건수[건]","건","4889","5438","4256","4165","4592",
"계","나주시","범죄건수[건]","건","732","2807","2831","2913","2905",
"계","목포시","범죄건수[건]","건","11719","9734","9064","9355","8551",
"계","순천시","범죄건수[건]","건","10177","8640","9474","8336","8053",
"계","여수시","범죄건수[건]","건","13138","9951","11672","13056","12274",
"계","경산시","범죄건수[건]","건","8048","7032","6962","7296","6803",
"계","경주시","범죄건수[건]","건","9176","8319","8126","9229","8324",
"계","구미시","범죄건수[건]","건","17984","15304","12598","13156","12755",
"계","김천시","범죄건수[건]","건","4271","3777","3727","3996","4076",
"계","문경시","범죄건수[건]","건","2053","1885","1633","1777","1481",
"계","상주시","범죄건수[건]","건","2533","2312","2408","2479","2323",
"계","안동시","범죄건수[건]","건","5661","4746","4500","4641","4843",
"계","영주시","범죄건수[건]","건","3138","2525","2347","2467","2250",
"계","영천시","범죄건수[건]","건","3054","2911","2993","3149","3070",
"계","포항시","범죄건수[건]","건","17894","17643","16513","16210","16132",
"계","거제시","범죄건수[건]","건","11726","10775","8638","7542","8121",
"계","김해시","범죄건수[건]","건","19639","18400","16982","18220","18004",
"계","밀양시","범죄건수[건]","건","3353","2888","2786","3017","2797",
"계","사천시","범죄건수[건]","건","4126","3292","3191","3808","3731",
"계","양산시","범죄건수[건]","건","10083","8258","8657","10519","9915",
"계","진주시","범죄건수[건]","건","11177","10238","8961","9107","10146",
"계","창원시","범죄건수[건]","건","35928","32654","28025","30027","30522",
