"범죄별(1)","범죄별(2)",범죄별(3),발생지역별(1),2020
"범죄발생총건수(A) (건)","소계",소계,계,1714579
"범죄발생총건수(A) (건)","소계",소계,서울,318320
"범죄발생총건수(A) (건)","소계",소계,부산,127673
"범죄발생총건수(A) (건)","소계",소계,대구,79182
"범죄발생총건수(A) (건)","소계",소계,인천,96340
"범죄발생총건수(A) (건)","소계",소계,광주,49869
"범죄발생총건수(A) (건)","소계",소계,대전,46960
"범죄발생총건수(A) (건)","소계",소계,울산,24911
"범죄발생총건수(A) (건)","소계",소계,세종,6651
"범죄발생총건수(A) (건)","소계",소계,경기,429487
"범죄발생총건수(A) (건)","소계",소계,강원,51544
"범죄발생총건수(A) (건)","소계",소계,충북,51645
"범죄발생총건수(A) (건)","소계",소계,충남,71847
"범죄발생총건수(A) (건)","소계",소계,전북,56210
"범죄발생총건수(A) (건)","소계",소계,전남,67448
"범죄발생총건수(A) (건)","소계",소계,경북,83790
"범죄발생총건수(A) (건)","소계",소계,경남,123406
"범죄발생총건수(A) (건)","소계",소계,제주,29296
"인구(B) (명)","소계",소계,계,51829023
"인구(B) (명)","소계",소계,서울,9668465
"인구(B) (명)","소계",소계,부산,3391946
"인구(B) (명)","소계",소계,대구,2418346
"인구(B) (명)","소계",소계,인천,2942828
"인구(B) (명)","소계",소계,광주,1450062
"인구(B) (명)","소계",소계,대전,1463882
"인구(B) (명)","소계",소계,울산,1136017
"인구(B) (명)","소계",소계,세종,355831
"인구(B) (명)","소계",소계,경기,13427014
"인구(B) (명)","소계",소계,강원,1542840
"인구(B) (명)","소계",소계,충북,1600837
"인구(B) (명)","소계",소계,충남,2121029
"인구(B) (명)","소계",소계,전북,1804104
"인구(B) (명)","소계",소계,전남,1851549
"인구(B) (명)","소계",소계,경북,2639422
"인구(B) (명)","소계",소계,경남,3340216
"인구(B) (명)","소계",소계,제주,674635
"A/Bⅹ100,000 (건/10만명)","소계",소계,계,3308.1
"A/Bⅹ100,000 (건/10만명)","소계",소계,서울,3292.4
"A/Bⅹ100,000 (건/10만명)","소계",소계,부산,3764
"A/Bⅹ100,000 (건/10만명)","소계",소계,대구,3274.2
"A/Bⅹ100,000 (건/10만명)","소계",소계,인천,3273.7
"A/Bⅹ100,000 (건/10만명)","소계",소계,광주,3439.1
