"죄종별(1)",죄종별(2),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"죄종별(1)",죄종별(2),계,남자,남자,남자,남자,남자,남자,남자,여자,여자,여자,여자,여자,여자,여자,여자
"죄종별(1)",죄종별(2),계,계,정상,정신이상,정신박약,기타정신장애,주취,미상,계,정상,정신이상,정신박약,기타정신장애,주취,월경시이상,미상
"계",소계,1494421,1174763,555432,1840,907,3359,229101,384124,319658,161933,975,248,1690,28598,81,126133
"강력범죄",소계,26971,25628,11016,149,126,242,8119,5976,1343,551,29,8,42,255,-,458
"강력범죄",살인기수,341,256,112,10,-,8,63,63,85,44,-,1,2,9,-,29
"강력범죄",살인미수등,454,376,151,11,3,6,149,56,78,30,4,-,5,13,-,26
"강력범죄",강도,1202,1026,777,9,1,20,110,109,176,124,1,1,5,7,-,38
"강력범죄",강간,6113,6010,2369,6,11,15,1448,2161,103,52,-,2,-,9,-,40
"강력범죄",유사강간,934,891,404,2,2,5,260,218,43,21,-,-,-,9,-,13
"강력범죄",강제추행,16382,15727,6608,72,94,136,5630,3187,655,201,5,1,12,150,-,286
"강력범죄",기타 강간·강제추행등,349,335,189,-,2,1,89,54,14,6,-,-,1,1,-,6
"강력범죄",방화,1196,1007,406,39,13,51,370,128,189,73,19,3,17,57,-,20
"절도범죄",소계,98425,72665,57862,282,315,763,6098,7345,25760,20924,220,91,594,993,70,2868
"폭력범죄",소계,313990,258549,93439,715,168,1056,77424,85747,55441,23556,375,58,505,10548,7,20392
"폭력범죄",상해,43552,36148,16832,127,29,197,15741,3222,7404,4143,70,12,85,1997,1,1096
"폭력범죄",폭행,178448,145426,43454,272,64,416,35943,65277,33022,11911,150,28,203,5668,5,15057
"폭력범죄",체포·감금,1695,1416,734,1,-,2,133,546,279,99,1,-,-,6,-,173
"폭력범죄",협박,22507,19640,8416,109,20,155,4944,5996,2867,1248,32,3,45,368,-,1171
"폭력범죄",약취·유인,296,207,108,1,4,3,18,73,89,41,-,-,2,3,-,43
"폭력범죄",폭력행위등,25342,19982,9261,5,1,8,6941,3766,5360,2947,3,1,5,1206,-,1198
"폭력범죄",공갈,3434,2847,1863,3,-,6,115,860,587,308,3,1,2,7,-,266
"폭력범죄",손괴,38716,32883,12771,197,50,269,13589,6007,5833,2859,116,13,163,1293,1,1388
"지능범죄",소계,307706,237060,120603,109,91,245,6502,109510,70646,33318,83,40,126,443,-,36636
"지능범죄",직무유기,947,681,62,-,-,-,-,619,266,15,-,-,-,-,-,251
"지능범죄",직권남용,1021,784,109,1,-,-,-,674,237,21,-,-,-,-,-,216
"지능범죄",증수뢰,807,690,458,-,-,-,-,232,117,65,-,-,-,-,-,52
"지능범죄",통화,86,72,27,-,-,-,-,45,14,1,-,-,-,-,-,13
"지능범죄",문서·인장,15465,11278,4929,-,1,3,25,6320,4187,1931,1,1,1,26,-,2227
"지능범죄",유가증권인지,117,95,35,-,-,-,-,60,22,8,-,-,-,-,-,14
"지능범죄",사기,245009,189681,97928,84,27,137,5831,85674,55328,26075,64,16,70,314,-,28789
"지능범죄",횡령,35930,27105,15197,23,63,105,645,11072,8825,4791,18,23,55,103,-,3835
"지능범죄",배임,8324,6674,1858,1,-,-,1,4814,1650,411,-,-,-,-,-,1239
"풍속범죄",소계,34671,31078,25620,70,58,124,2261,2945,3593,2832,5,6,6,88,-,656
"풍속범죄",성풍속범죄,13546,12957,9679,65,58,120,1299,1736,589,387,5,6,6,41,-,144
"풍속범죄",도박범죄,21125,18121,15941,5,-,4,962,1209,3004,2445,-,-,-,47,-,512
"특별경제범죄",소계,67904,50432,25904,88,24,105,9671,14640,17472,10704,82,11,75,942,-,5658
"마약범죄",소계,11630,8403,7253,75,8,186,100,781,3227,2869,18,3,52,35,-,250
"보건범죄",소계,21810,10662,8472,11,1,14,318,1846,11148,9074,4,1,12,128,-,1929
"환경범죄",소계,4329,4011,3435,-,-,-,2,574,318,224,-,-,-,-,-,94
"교통범죄",소계,356446,292808,90265,44,17,157,100278,102047,63638,18010,8,3,37,12955,3,32622
"노동범죄",소계,613,480,373,1,-,-,-,106,133,106,-,-,-,-,-,27
"안보범죄",소계,678,575,499,1,-,-,4,71,103,95,-,-,2,-,-,6
"선거범죄",소계,1545,996,630,2,2,7,38,317,549,273,1,-,3,3,-,269
"병역범죄",소계,3164,3152,2861,-,-,7,-,284,12,9,-,-,-,-,-,3
"기타범죄",소계,244539,178264,107200,293,97,453,18286,51935,66275,39388,150,27,236,2208,1,24265
